,ds,TMAX_30avg,TMIN_30avg,TOBS_30avg,PDO,AMO,y,PRCP
89,1945-02-18,32.333333333333336,13.433333333333334,20.166666666666668,-0.31000000000000005,0.34871428571428575,49.99999999999999,0.54
90,1945-02-19,32.13333333333333,13.933333333333334,20.4,-0.30000000000000004,0.3492857142857143,60.99999999999999,0.89
91,1945-02-20,32.166666666666664,14.0,20.466666666666665,-0.29000000000000004,0.34985714285714287,60.99999999999999,0.0
92,1945-02-21,31.933333333333334,13.933333333333334,20.166666666666668,-0.28,0.3504285714285714,67.0,0.48
93,1945-02-22,31.366666666666667,13.5,19.9,-0.27,0.35100000000000003,67.0,0.0
94,1945-02-23,31.166666666666668,13.366666666666667,19.8,-0.26,0.3515714285714286,67.0,0.0
95,1945-02-24,31.1,13.366666666666667,19.666666666666668,-0.25,0.35214285714285715,67.0,0.0
96,1945-02-25,30.833333333333332,13.2,19.2,-0.24000000000000002,0.35271428571428576,67.0,0.0
97,1945-02-26,30.733333333333334,13.066666666666666,19.1,-0.23000000000000004,0.3532857142857143,67.0,0.0
98,1945-02-27,30.95324074074074,13.331481481481482,19.42070707070707,-0.22000000000000003,0.35385714285714287,67.0,0.0
99,1945-02-28,31.15324074074074,13.29814814814815,19.454040404040406,-0.21000000000000002,0.3544285714285714,67.0,0.0
100,1945-03-01,31.219907407407405,13.398148148148149,19.454040404040406,-0.2,0.355,67.0,0.0
101,1945-03-02,31.519907407407405,13.464814814814815,19.287373737373738,-0.19000000000000003,0.3555714285714286,72.0,0.54
102,1945-03-03,31.28657407407407,13.498148148148148,18.954040404040406,-0.18000000000000002,0.35614285714285715,74.0,0.3
103,1945-03-04,30.853240740740738,13.164814814814815,18.58737373737374,-0.17,0.3567142857142857,74.0,0.66
104,1945-03-05,30.586574074074072,12.531481481481482,17.92070707070707,-0.16000000000000003,0.3572857142857143,74.0,0.2
105,1945-03-06,30.486574074074074,11.898148148148149,17.38737373737374,-0.15000000000000002,0.3578571428571429,73.0,0.17
